,Date,Close,Volume,Adj Close,^DJI_Close,^IXIC_Close,^GSPC_Close,^RLG_Close,^NYA_Close,^VIX_Close,DX-Y.NYB_Close,EURUSD=X_Close,GBPUSD=X_Close,GC=F_Close,SI=F_Close,CL=F_Close,WM1NS,WM2NS,ICSA,CCSA,JTSJOL,PAYEMS,RSXFS,TCU,UMCSENT,BUSINV,INDPRO,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,BACTSAMFRBDAL,IR,IQ,PPIACO,CPIAUCSL,CPILFESL,MICH,CSCICP03USM665S,Grow,News_Score
40,2015-03-03,32.34000015258789,151265200,29.18101501464844,18203.369140625,4979.89990234375,2107.780029296875,1011.1199951171876,11051.2197265625,13.859999656677246,95.37999725341795,1.1179054975509644,1.5359095335006714,1204.0,16.257999420166016,50.52000045776367,3082.6,11918.4,317000.0,2357000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.5660554005831756
41,2015-03-04,32.1349983215332,126665200,28.996034622192383,18096.900390625,4967.14013671875,2098.530029296875,1006.6199951171876,11004.6796875,14.229999542236328,95.97000122070312,1.118217945098877,1.5366648435592651,1200.5999755859375,16.131999969482422,51.52999877929688,3082.6,11918.4,317000.0,2357000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.360174895412491
42,2015-03-05,31.602500915527344,226068400,28.51555061340332,18135.720703125,4982.81005859375,2101.0400390625,1007.989990234375,11014.259765625,14.039999961853027,96.37999725341795,1.1082050800323486,1.52650785446167,1195.9000244140625,16.131999969482422,50.7599983215332,3082.6,11918.4,317000.0,2357000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.2417715452723022
43,2015-03-06,31.649999618530277,291368400,28.558408737182617,17856.779296875,4927.3701171875,2071.260009765625,994.2100219726562,10842.169921875,15.199999809265137,97.62000274658205,1.1032048463821411,1.5247621536254885,1164.0999755859375,15.784000396728516,49.61000061035156,3082.6,11918.4,317000.0,2357000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.4352769478152657
44,2015-03-09,31.78499984741211,354114000,28.680225372314453,17995.720703125,4942.43994140625,2079.429931640625,998.030029296875,10866.6201171875,15.0600004196167,97.58999633789062,1.0845986604690552,1.5057746171951294,1166.4000244140625,15.755000114440918,50.0,2919.7,11946.9,293000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.512919941333593
45,2015-03-10,31.127500534057617,275426400,28.08695602416992,17662.939453125,4859.7900390625,2044.1600341796875,981.5999755859376,10678.41015625,16.690000534057617,98.62000274658205,1.0833414793014526,1.5104827880859375,1160.0999755859375,15.61299991607666,48.290000915527344,2919.7,11946.9,293000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.932629662991742
46,2015-03-11,30.559999465942383,275756000,27.574878692626957,17635.390625,4849.93994140625,2040.239990234375,978.8099975585938,10678.759765625,16.8700008392334,99.8000030517578,1.0708701610565186,1.508204698562622,1150.699951171875,15.345000267028809,48.16999816894531,2919.7,11946.9,293000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.3076376370871921
47,2015-03-12,31.112499237060547,193450800,28.07341957092285,17895.220703125,4893.2900390625,2065.949951171875,991.0700073242188,10820.8701171875,15.420000076293944,99.1500015258789,1.0548745393753052,1.493295192718506,1152.0999755859375,15.493000030517578,47.04999923706055,2919.7,11946.9,293000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.5
48,2015-03-13,30.897499084472656,207309200,27.87941551208496,17749.310546875,4871.759765625,2053.39990234375,984.9199829101562,10751.01953125,16.0,100.33000183105467,1.0626314878463743,1.4894028902053833,1152.5999755859375,15.47700023651123,44.84000015258789,2919.7,11946.9,293000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.5
49,2015-03-16,31.237499237060547,143497200,28.186203002929688,17977.419921875,4929.509765625,2081.18994140625,998.2000122070312,10881.1796875,15.609999656677246,99.5999984741211,1.0481630563735962,1.4755791425704956,1153.300048828125,15.60099983215332,43.880001068115234,2938.3,11979.0,290000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.505005309775821
50,2015-03-17,31.76000022888184,204092400,28.65766716003418,17849.080078125,4937.43017578125,2074.280029296875,996.6799926757812,10862.4296875,15.65999984741211,99.58999633789062,1.0572947263717651,1.4825797080993652,1148.300048828125,15.562000274658203,43.459999084472656,2938.3,11979.0,290000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.5
51,2015-03-18,32.11750030517578,261083600,28.98024559020996,18076.189453125,4982.830078125,2099.5,1007.7000122070312,11019.7197265625,13.970000267028809,98.5500030517578,1.0598047971725464,1.47520911693573,1151.4000244140625,15.524999618530272,44.65999984741211,2938.3,11979.0,290000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.5
52,2015-03-19,31.875,183238000,28.76144218444824,17959.029296875,4992.3798828125,2089.27001953125,1006.1199951171876,10931.3603515625,14.06999969482422,99.0999984741211,1.0849988460540771,1.496199607849121,1169.0999755859375,16.097999572753906,43.959999084472656,2938.3,11979.0,290000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.5
53,2015-03-20,31.475000381469727,274780400,28.400508880615234,18127.650390625,5026.419921875,2108.10009765625,1014.0999755859376,11070.5302734375,13.020000457763672,97.91000366210938,1.066894292831421,1.4761673212051392,1184.800048828125,16.867000579833984,45.720001220703125,2938.3,11979.0,290000.0,2361000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,False,0.5648820724853417
